File Name, HeapSort, MergeSort, QuickSort, 
./Test Files/Small_Reverse_Sort_18.txt, 1242761, 1145256, 1711, 
./Test Files/Small_Reverse_Sort_19.txt, 1472838, 1162362, 1711, 
./Test Files/Small_Reverse_Sort_20.txt, 1234635, 1188448, 1710, 
./Test Files/Small_Reverse_Sort_21.txt, 1637057, 1145683, 2138, 
./Test Files/Small_Reverse_Sort_22.txt, 1249603, 1221806, 1711, 
./Test Files/Small_Reverse_Sort_23.txt, 1250886, 1143545, 1283, 
./Test Files/Small_Reverse_Sort_24.txt, 1701205, 1146967, 1283, 
./Test Files/Small_Reverse_Sort_25.txt, 1241050, 1265426, 1283, 
./Test Files/Small_Reverse_Sort_26.txt, 1343259, 1188449, 1711, 
./Test Files/Small_Reverse_Sort_27.txt, 1238056, 1167921, 1283, 
./Test Files/Small_Reverse_Sort_28.txt, 1236346, 1184600, 1283, 
./Test Files/Small_Reverse_Sort_29.txt, 1238057, 1338127, 855, 
./Test Files/Small_Reverse_Sort_30.txt, 1280822, 1152099, 1710, 
./Test Files/Medium_Unsorted_1.txt, 21551595, 20956729, 1283, 
./Test Files/Medium_Unsorted_2.txt, 22143467, 21064925, 1710, 
./Test Files/Medium_Unsorted_3.txt, 22311963, 21179109, 1710, 
./Test Files/Medium_Unsorted_4.txt, 22124651, 21808615, 1283, 
./Test Files/Medium_Unsorted_5.txt, 21548174, 21495145, 1283, 
./Test Files/Medium_Unsorted_6.txt, 21965136, 21983525, 1711, 
./Test Files/Medium_Unsorted_7.txt, 22731919, 21891152, 1283, 
./Test Files/Medium_Unsorted_8.txt, 23712101, 20856658, 1283, 
./Test Files/Medium_Unsorted_9.txt, 24877456, 21465637, 2139, 
./Test Files/Medium_Unsorted_10.txt, 22782382, 22918803, 1283, 
./Test Files/Medium_Unsorted_11.txt, 23215167, 22282455, 1710, 
./Test Files/Medium_Unsorted_12.txt, 22495426, 20482889, 1710, 
./Test Files/Medium_Unsorted_13.txt, 22375683, 22495427, 1710, 
./Test Files/Medium_Unsorted_14.txt, 21179964, 20337487, 1283, 
./Test Files/Medium_Unsorted_15.txt, 21620020, 20364001, 2138, 
./Test Files/Medium_Unsorted_16.txt, 21027719, 20381108, 1283, 
./Test Files/Medium_Unsorted_17.txt, 21234704, 21525936, 1283, 
./Test Files/Medium_Unsorted_18.txt, 21279180, 21077327, 2138, 
./Test Files/Medium_Unsorted_19.txt, 21281319, 22327358, 1711, 
./Test Files/Medium_Unsorted_20.txt, 21113250, 20443117, 1710, 
./Test Files/Medium_Unsorted_21.txt, 21524653, 21094434, 2138, 
./Test Files/Medium_Unsorted_22.txt, 21868058, 20458513, 1283, 
./Test Files/Medium_Unsorted_23.txt, 21008903, 22194358, 1710, 
./Test Files/Medium_Unsorted_24.txt, 21762001, 20776687, 1711, 
./Test Files/Medium_Unsorted_25.txt, 21665778, 20737343, 1711, 
./Test Files/Medium_Unsorted_26.txt, 21806049, 20606908, 1710, 
./Test Files/Medium_Unsorted_27.txt, 21411325, 21030286, 1710, 
./Test Files/Medium_Unsorted_28.txt, 21756013, 20949459, 1283, 
./Test Files/Medium_Unsorted_29.txt, 21682457, 21281746, 1710, 
./Test Files/Medium_Unsorted_30.txt, 21698708, 20468349, 1711, 
./Test Files/Medium_Sorted_1.txt, 15812486, 12529390, 1711, 
./Test Files/Medium_Sorted_2.txt, 15860383, 11591119, 1283, 
./Test Files/Medium_Sorted_3.txt, 15970290, 12574722, 1710, 
./Test Files/Medium_Sorted_4.txt, 16245271, 11586842, 1282, 
./Test Files/Medium_Sorted_5.txt, 15818473, 12227894, 1710, 
./Test Files/Medium_Sorted_6.txt, 16027168, 11749350, 1710, 
./Test Files/Medium_Sorted_7.txt, 15829592, 11465816, 1710, 
./Test Files/Medium_Sorted_8.txt, 18070068, 13517270, 8553, 
./Test Files/Medium_Sorted_9.txt, 15950618, 11535524, 1710, 
./Test Files/Medium_Sorted_10.txt, 15898872, 12379284, 1710, 
